uniprot,entrez,symbol
A0A023HJ61,NA,RAB4A
A0A023I7F4,NA,CYTB
A0A023I7H2,NA,ND5
A0A023I7H5,NA,ATP6
A0A023I7J4,NA,ND2
A0A023I7L8,NA,ATP6
A0A023I7N5,NA,ND1
A0A023I7N7,NA,ATP6
A0A023I7N8,NA,ND5
A0A023I7R1,NA,ND5
A0A023I7R3,NA,ND5
A0A023I7V4,NA,ATP6
A0A023I7W4,NA,ND6
A0A023I7Z4,NA,ND5
A0A023I807,NA,ND5
A0A023I825,NA,CYTB
A0A023I845,NA,ND2
A0A023I852,NA,ND6
A0A023I885,NA,ND5
A0A023I889,NA,ATP6
A0A023I890,NA,ND5
A0A023I8C1,NA,ND5
A0A023I8C2,NA,COX1
A0A023I8E0,NA,COX1
A0A023I8F1,NA,ATP6
A0A023I8F6,NA,ATP6
A0A023I8I7,NA,ND5
A0A023I8J4,NA,ATP6
A0A023I8L7,NA,ND5
A0A023I8M0,NA,CYTB
A0A023I8N0,NA,ND6
A0A023I8N5,NA,ND5
A0A023I8P3,NA,ND6
A0A023I8R5,NA,ATP6
A0A023I8U4,NA,ND4L
A0A023I8X8,NA,COX1
A0A023I8Y9,NA,ATP6
A0A023I900,NA,ND5
A0A023I903,NA,CYTB
A0A023I905,NA,ND4
A0A023I918,NA,ND5
A0A023I930,NA,ATP6
A0A023I954,NA,ND5
A0A023I985,NA,ND5
A0A023I989,NA,ATP6
A0A023I993,NA,CYTB
A0A023I9A1,NA,COX1
A0A023I9A5,NA,ND5
A0A023I9B6,NA,ND2
A0A023IP86,NA,ITGA4
A0A023IP88,NA,ITGA4
A0A023IP89,NA,ITGB7
A0A023IP90,NA,ITGA4
A0A023IPA8,NA,ITGA4
A0A023IPA9,NA,ITGA4
A0A023IPD5,NA,ITGB7
A0A023IPH2,NA,ITGA4
A0A023IPH8,NA,ITGA4
A0A023IPI3,NA,ITGA4
A0A023IQA6,NA,ITGA4
A0A023IQH3,NA,ITGB7
A0A023IQJ1,NA,ITGB7
A0A023IQJ3,NA,ITGA4
A0A023IQJ5,NA,ITGA4
A0A023IQK0,NA,ITGA4
A0A023J7R6,NA,CYP21A2
A0A023J8Y7,NA,ABO
A0A023JC58,NA,PSTPIP1
A0A023JDV9,NA,SLC6A8
A0A023NF12,NA,HLA-DRB1
A0A023PPR2,NA,RUNX1
A0A023Q2F1,NA,COX1
A0A023Q2M3,NA,COX1
A0A023Q2S3,NA,ATP6
A0A023Q3I2,NA,COX1
A0A023Q3L7,NA,COX1
A0A023Q3M6,NA,CYTB
A0A023Q460,NA,ND2
A0A023Q469,NA,CYTB
A0A023Q488,NA,COX1
A0A023Q4H9,NA,COX1
A0A023Q4K2,NA,COX3
A0A023Q4U0,NA,COX1
A0A023Q552,NA,COX1
A0A023Q568,NA,ND6
A0A023Q5F4,NA,COX1
A0A023Q5S8,NA,ND1
A0A023Q694,NA,ND2
A0A023Q6C7,NA,ND4
A0A023Q6C9,NA,CYTB
A0A023Q6D2,NA,ND5
A0A023Q6E7,NA,ND5
A0A023Q6G1,NA,CYTB
A0A023Q6J7,NA,CYTB
A0A023Q6U7,NA,CYTB
A0A023Q6X3,NA,ND4
A0A023Q700,NA,ND1
A0A023Q756,NA,ND5
A0A023Q788,NA,ATP6
A0A023Q797,NA,CYTB
A0A023Q7H2,NA,ATP6
A0A023Q7H6,NA,ND5
A0A023Q7K9,NA,ND5
A0A023Q7P2,NA,COX1
A0A023Q7R1,NA,ND1
A0A023Q875,NA,ND1
A0A023Q8B2,NA,COX1
A0A023Q8F3,NA,CYTB
A0A023Q8L4,NA,ND5
A0A023Q8P7,NA,ND2
A0A023Q8X7,NA,ND5
A0A023Q9F0,NA,ATP6
A0A023Q9G1,NA,ND4
A0A023Q9X5,NA,ND4
A0A023QA97,NA,CYTB
A0A023QAS9,NA,CYTB
A0A023QAT6,NA,CYTB
A0A023QB70,NA,ND4L
A0A023QBA5,NA,ND2
A0A023QBI1,NA,CYTB
A0A023QBJ9,NA,COX1
A0A023QC18,NA,ND1
A0A023QCF8,NA,CYTB
A0A023QCK0,NA,ND2
A0A023QCY0,NA,ND2
A0A023QCZ2,NA,COX2
A0A023QD05,NA,ATP6
