uniprot,biogrid
O00148,115507
O00151,114572
O00154,116460
O00155,109107
O00159,110725
O00160,110638
O00161,114303
O00165,115719
O00167,108440
O00168,111363
O00170,114511
O00178,114937
O00180,109976
O00182,110156
O00186,112683
O00187,115970
O00189,114616
O00192,106914
O00193,116144
O00194,111812
O00198,114276
O00203,114116
O00204,112689
O00206,112954
O00212,119010
O00213,106819
O00214,110155
O00217,110806
O00219,109288
O00220,114325
O00221,110861
O00230,107718
O00231,111689
O00232,111690
O00233,111687
O00237,113601
O00238,107126
O00241,115609
O00244,106965
O00253,106688
O00255,110384
O00257,114105
O00258,113322
O00264,116068
O00267,112697
O00268,112737
O00273,108040
O00287,111926
O00291,109339
O00292,112902
O00294,113138
O00295,113139
O00299,107604
O00300,111028
O00303,114214
O00305,107239
O00308,116244
O00311,113914
O00321,108417
O00322,116233
O00327,106899
O00329,111311
O00330,113737
O00338,112688
O00339,110317
O00341,112403
O00358,108593
O00391,111734
O00399,115913
O00400,114632
O00401,114466
O00408,111164
O00409,107537
O00410,110041
O00411,111438
O00418,118953
O00421,114500
O00422,115573
O00423,108324
O00425,115887
O00429,115370
O00442,114187
O00443,111304
O00444,115956
O00445,112725
O00451,108943
O00458,109697
O00459,111314
O00461,118146
O00462,110299
O00463,113040
O00468,132000
O00469,111367
O00470,110375
O00471,115884
O00472,116595
O00478,115657
O00479,115736
O00481,116294
O00482,108772
O00483,110777
O00487,115508
O00488,119241
O00499,106771
O00501,112977
O00505,110037
O00506,115757
O00507,113892
O00512,107079
O00515,110095
O00519,108464
O00522,107330
O00526,113225
O00533,115975
O00534,110197
O00541,117040
O00548,118391
O00555,107227
O00559,114607
O00560,112287
O00562,114965
O00566,115494
O00567,115783
O00570,112539
O00571,108020
O00584,114188
O00585,112269
O00590,107643
O00592,111416
O00602,108513
O00622,109712
O00623,111216
O00624,115540
O00625,114114
O00626,112270
O00628,111214
O00629,110038
O00631,112474
O00635,115738
O00712,110853
O00716,108203
O00743,111529
O00744,113317
O00746,110897
O00748,114351
O00750,111305
O00754,110298
O00755,113313
O00757,114317
O00762,116249
O00763,106550
O00764,114135
O00767,112225
O14490,114660
O14492,115850
O14493,107756
O14494,114169
O14495,114171
O14497,113894
O14498,109878
O14503,114123
O14508,114362
O14511,114917
O14512,119053
O14513,131288
O14514,107051
O14519,113770
O14521,112293
O14522,116296
O14523,115188
O14524,116898
O14526,116764
O14530,115487
O14531,115821
O14543,114488
O14544,114719
O14545,116112
O14548,114608
O14556,117681
O14558,125988
O14559,125448
O14561,110786
O14562,121034
O14569,116252
O14576,108118
O14578,116290
O14579,116447
O14593,114180
O14594,107845
O14595,115412
O14598,"114540, 131701"
O14599,114539
O14602,114542
O14604,114543
O14607,113247
O14609,114538
O14610,109055
O14613,115702
O14617,114455
O14618,115298
O14625,112275
O14627,107476
O14628,113532
O14638,111195
O14639,110171
O14640,108188
O14641,108189
O14645,113577
O14646,107530
O14647,107531
O14649,109978
O14653,114940
O14654,114048
O14656,108193
O14657,118160
O14662,114223
O14668,111621
O14669,111622
O14672,106616
O14678,111784
O14681,114914
O14682,114079
O14683,114913
O14684,114912
O14686,113758
O14709,115470
O14713,114689
O14715,608294
O14717,108124
O14727,106814
O14730,114309
O14732,109826
O14733,111595
O14734,115323
O14735,115692
O14737,114588
O14744,115688
O14745,114769
O14746,112874
O14753,111057
O14756,114183
O14757,107536
O14763,114323
O14764,108837
O14770,110376
O14771,113543
O14772,114318
O14773,107611
O14775,115920
O14776,116120
O14777,115675
O14782,109998
O14786,114356
O14787,119024
O14788,114160
O14791,114112
O14792,115282
O14793,108929
O14795,115759
O14796,125563
