,Atom,isMemberOf,interacts_with
100,Uniprot:P0DP23,['R-HSA-114608'],[]
101,ChEBI:15996,['R-HSA-114608'],[]
102,Uniprot:Q6YHK3,['R-HSA-114608'],[]
103,Uniprot:P05121,['R-HSA-114608' 'R-HSA-3000178'],[]
104,Uniprot:P29400,['R-HSA-3000178'],[]
105,ChEBI:53014,['R-HSA-3000497'],[]
106,GO:0016363,['GO:0031090'],[]
107,Uniprot:P00747,['R-HSA-114608'],[]
108,Uniprot:P11021,['R-HSA-114608'],[]
109,Uniprot:P04004,['R-HSA-3000178'],[]
110,Uniprot:O14498,['R-HSA-114608'],[]
111,Uniprot:P23528,['R-HSA-114608'],[]
112,Uniprot:P02458,['R-HSA-3000178'],[]
113,ChEBI:17002,['R-HSA-3000497'],[]
114,Uniprot:Q9UEU0,['R-HSA-114608'],[]
115,Uniprot:Q8WXD2,['R-HSA-114608'],[]
116,Uniprot:P20849,['R-HSA-3000178'],[]
117,Uniprot:Q13332,['R-HSA-3000178'],[]
118,Uniprot:Q14393,['R-HSA-114608'],[]
119,Uniprot:Q13683,['R-HSA-3000178'],[]
120,Uniprot:O00468,['R-HSA-3000178'],[]
121,Uniprot:A6NMZ7,['R-HSA-3000178'],[]
122,Uniprot:P02462,['R-HSA-3000178'],[]
123,Uniprot:P18206,['R-HSA-114608'],[]
124,Uniprot:A8TX70,['R-HSA-3000178'],[]
125,ChEBI:16670,['R-HSA-3000497'],[]
126,Uniprot:P21926,['R-HSA-114608'],[]
127,Uniprot:P19652,['R-HSA-114608'],[]
128,Uniprot:P12259,['R-HSA-114608'],[]
129,Uniprot:P55268,['R-HSA-3000178'],[]
130,Uniprot:Q13316,['R-HSA-3000178'],[]
131,Uniprot:P61812,['R-HSA-114608' 'R-HSA-3000178'],[]
132,Uniprot:P13611,['R-HSA-3000178'],[]
133,Uniprot:Q86UX7,['R-HSA-114608'],[]
134,Uniprot:P08758,['R-HSA-114608'],[]
135,Uniprot:P08697,['R-HSA-114608'],[]
136,Uniprot:Q9BYX7,['R-HSA-114608'],[]
137,Uniprot:Q9BXN1,['R-HSA-3000178'],[]
138,Uniprot:Q13797,['R-HSA-3000178'],[]
139,Uniprot:P12111,['R-HSA-3000178'],[]
140,Uniprot:O15439,['R-HSA-114608'],[]
141,Uniprot:O14594,['R-HSA-3000178'],[]
142,Uniprot:Q9UHQ9,['R-HSA-114608'],[]
143,Uniprot:Q08380,['R-HSA-114608'],[]
144,GO:012345,['GO:0031692'],[]
145,Uniprot:P07225,['R-HSA-114608'],[]
146,Uniprot:P02679,['R-HSA-114608'],[]
147,ChEBI:16761,['R-HSA-114608'],[]
148,Uniprot:O95460,['R-HSA-3000178'],[]
149,Uniprot:P02675,['R-HSA-114608'],[]
150,Uniprot:Q5JVS0,['R-HSA-114608'],[]
151,Uniprot:Q96JJ7,['R-HSA-114608'],[]
152,Uniprot:Q06481,['R-HSA-114608'],[]
153,Uniprot:Q9UQP3,['R-HSA-3000178'],[]
154,Uniprot:P62328,['R-HSA-114608'],[]
155,Uniprot:Q8WWQ8,['R-HSA-3000497'],[]
156,Uniprot:P04075,['R-HSA-114608'],[]
157,Uniprot:P05556,['R-HSA-3000178'],[]
158,Uniprot:P37802,['R-HSA-114608'],[]
159,Uniprot:Q9BWS9,['R-HSA-114608'],[]
160,Uniprot:P01009,['R-HSA-114608'],[]
161,Uniprot:P05019,['R-HSA-114608'],[]
162,Uniprot:P21333,['R-HSA-114608'],[]
163,Uniprot:P01127,['R-HSA-114608'],[]
164,Uniprot:Q13103,['R-HSA-114608'],[]
165,Uniprot:Q92752,['R-HSA-3000178'],[]
166,Uniprot:P04275,['R-HSA-114608'],[]
167,Uniprot:O00292,['R-HSA-114608'],[]
168,ChEBI:29108,['R-HSA-114608' 'R-HSA-3000178'],[]
169,Uniprot:P22105,['R-HSA-3000178'],[]
170,Uniprot:P21810,['R-HSA-3000178'],[]
171,Uniprot:P01133,['R-HSA-114608'],[]
172,Uniprot:P35609,['R-HSA-114608'],[]
173,Uniprot:P07585,['R-HSA-3000178'],[]
174,Uniprot:P49767,['R-HSA-114608'],[]
175,Uniprot:P08123,['R-HSA-3000178'],[]
176,ChEBI:37397,['R-HSA-3000497'],[]
177,SLC1A5,"['GO:0070207' 'GO:0015804' 'GO:0006865' 'GO:0006868' 'GO:0046718'
 'GO:0015825' 'GO:1903803' 'GO:0010585' 'GO:0005886' 'GO:0016021'
 'GO:0016020' 'GO:0005887' 'GO:0070062' 'GO:0042470']","['CYB5R3' 'CD47' 'GPR89A' 'MRPS35' 'ABCB8' 'ATP9A' 'SLC25A46' 'SPPL3'
 'SLC25A24' 'PTPLB' 'ZDHHC18' 'MCU' 'MTCH2']"
178,ChEBI:16247,['R-HSA-3000497'],[]
179,Uniprot:O60245,['R-HSA-114608'],[]
180,Uniprot:P14210,['R-HSA-114608'],[]
181,Uniprot:P08962,['R-HSA-114608'],[]
182,Uniprot:Q9BX10,['R-HSA-114608'],[]
183,Uniprot:O15146,['R-HSA-3000178'],[]
184,ChEBI:17552,['R-HSA-114608'],[]
185,Uniprot:Q9NY15,['R-HSA-3000497'],[]
186,Uniprot:Q8NBM8,['R-HSA-114608'],[]
187,Uniprot:P05452,['R-HSA-114608'],[]
188,Uniprot:P02763,['R-HSA-114608'],[]
189,Uniprot:P02647,['R-HSA-114608'],[]
190,Uniprot:P16671,['R-HSA-114608'],[]
191,Uniprot:Q96C24,['R-HSA-114608'],[]
192,Uniprot:P00451,['R-HSA-114608'],[]
193,Uniprot:P21815,['R-HSA-3000178'],[]
194,Uniprot:P12109,['R-HSA-3000178'],[]
195,ChEBI:18420,['R-HSA-114608'],[]
196,Uniprot:P01137,['R-HSA-114608' 'R-HSA-3000178'],[]
197,Uniprot:Q14050,['R-HSA-3000178'],[]
198,Uniprot:O75167,['R-HSA-114608'],[]
199,Uniprot:P11047,['R-HSA-3000178'],[]
200,Uniprot:Q9Y6I9,['R-HSA-114608'],[]
201,ChEBI:28790,['R-HSA-114608'],[]
202,Uniprot:Q06828,['R-HSA-3000178'],[]
203,Uniprot:P08567,['R-HSA-114608'],[]
204,ChEBI:18303,['R-HSA-3000497'],[]
205,Uniprot:P10600,['R-HSA-114608' 'R-HSA-3000178'],[]
206,ChEBI:16336,['R-HSA-3000178' 'R-HSA-3000497'],[]
207,Uniprot:Q16363,['R-HSA-3000178'],[]
208,Uniprot:P02751,['R-HSA-114608' 'R-HSA-3000178'],[]
209,ChEBI:15422,['R-HSA-114608'],[]
210,Uniprot:P08572,['R-HSA-3000178'],[]
211,Uniprot:P56202,['R-HSA-114608'],[]
212,Uniprot:P24043,['R-HSA-3000178'],[]
213,Uniprot:Q14118,['R-HSA-3000178'],[]
214,Uniprot:P10909,['R-HSA-114608'],[]
215,Uniprot:P13591,['R-HSA-3000178'],[]
216,Uniprot:Q9ULD4,['R-HSA-114608'],[]
217,Uniprot:O94919,['R-HSA-114608'],[]
218,Uniprot:Q9NUQ9,['R-HSA-114608'],[]
219,Uniprot:Q9NZW4,['R-HSA-3000178'],[]
220,Uniprot:P25391,['R-HSA-3000178'],[]
221,Uniprot:P04217,['R-HSA-114608'],[]
